Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2019-01-02,118.88999938964844,124.58999633789062,118.27999877929688,123.3499984741211,123.3499984741211,2085800,LULU
2019-01-03,121.8499984741211,126.12000274658203,120.31999969482422,124.36000061035156,124.36000061035156,2896800,LULU
2019-01-04,125.8499984741211,129.57000732421875,125.30999755859375,128.5500030517578,128.5500030517578,2184600,LULU
2019-01-07,129.3300018310547,135.10000610351562,129.3300018310547,134.10000610351562,134.10000610351562,2860000,LULU
2019-01-08,135.52000427246094,137.17999267578125,133.6699981689453,135.86000061035156,135.86000061035156,2322600,LULU
2019-01-09,137.5,137.50999450683594,134.63999938964844,136.0,136.0,3339000,LULU
2019-01-10,131.02999877929688,132.41000366210938,129.5,131.61000061035156,131.61000061035156,3402100,LULU
2019-01-11,130.97000122070312,133.14999389648438,130.57000732421875,132.16000366210938,132.16000366210938,2949700,LULU
2019-01-14,136.63999938964844,145.0,135.3800048828125,139.72999572753906,139.72999572753906,7152000,LULU
2019-01-15,139.36000061035156,141.64999389648438,138.50999450683594,141.1300048828125,141.1300048828125,2619600,LULU
2019-01-16,142.36000061035156,143.25,141.3699951171875,142.24000549316406,142.24000549316406,1783500,LULU
2019-01-17,141.72999572753906,146.0399932861328,141.72999572753906,145.13999938964844,145.13999938964844,3012100,LULU
2019-01-18,147.52000427246094,152.17999267578125,147.07000732421875,152.07000732421875,152.07000732421875,3277100,LULU
2019-01-22,150.52000427246094,151.66000366210938,148.32000732421875,149.47000122070312,149.47000122070312,1828200,LULU
2019-01-23,151.42999267578125,151.72999572753906,147.75,149.85000610351562,149.85000610351562,1602100,LULU
2019-01-24,150.0,150.25999450683594,147.22999572753906,148.42999267578125,148.42999267578125,2033600,LULU
2019-01-25,150.0,152.80999755859375,148.42999267578125,151.88999938964844,151.88999938964844,1731700,LULU
2019-01-28,150.33999633789062,150.77000427246094,148.6199951171875,149.6999969482422,149.6999969482422,1417000,LULU
2019-01-29,149.8300018310547,149.92999267578125,147.80999755859375,148.9499969482422,148.9499969482422,1297400,LULU
2019-01-30,150.13999938964844,150.39999389648438,148.22999572753906,148.61000061035156,148.61000061035156,1380000,LULU
2019-01-31,148.30999755859375,148.92999267578125,146.30999755859375,147.80999755859375,147.80999755859375,2517100,LULU
2019-02-01,147.4499969482422,147.85000610351562,144.36000061035156,146.1199951171875,146.1199951171875,1749900,LULU
2019-02-04,145.33999633789062,147.4499969482422,144.67999267578125,146.63999938964844,146.63999938964844,1689800,LULU
2019-02-05,147.5500030517578,151.57000732421875,146.67999267578125,146.88999938964844,146.88999938964844,2138500,LULU
2019-02-06,146.9600067138672,147.27000427246094,143.47000122070312,145.75999450683594,145.75999450683594,1452900,LULU
2019-02-07,144.3300018310547,147.6699981689453,143.05999755859375,147.6300048828125,147.6300048828125,1803200,LULU
2019-02-08,147.1300048828125,150.0,147.0,148.6199951171875,148.6199951171875,1450400,LULU
2019-02-11,149.6999969482422,151.92999267578125,149.27999877929688,149.7899932861328,149.7899932861328,1509200,LULU
2019-02-12,150.86000061035156,157.5500030517578,150.57000732421875,157.32000732421875,157.32000732421875,4021900,LULU
2019-02-13,157.94000244140625,158.6699981689453,154.11000061035156,155.27000427246094,155.27000427246094,2090600,LULU
2019-02-14,153.50999450683594,156.4199981689453,152.35000610351562,154.85000610351562,154.85000610351562,1121000,LULU
2019-02-15,155.60000610351562,156.22999572753906,150.5399932861328,151.08999633789062,151.08999633789062,1925900,LULU
2019-02-19,149.17999267578125,149.8000030517578,145.52999877929688,147.57000732421875,147.57000732421875,2451500,LULU
2019-02-20,147.4499969482422,149.50999450683594,147.02999877929688,148.1199951171875,148.1199951171875,1396900,LULU
2019-02-21,147.47000122070312,149.11000061035156,147.0500030517578,148.11000061035156,148.11000061035156,977300,LULU
2019-02-22,148.6999969482422,149.36000061035156,147.5,149.25999450683594,149.25999450683594,966400,LULU
2019-02-25,150.1199951171875,151.50999450683594,148.0500030517578,148.5399932861328,148.5399932861328,1216900,LULU
2019-02-26,148.1999969482422,151.39999389648438,148.19000244140625,150.97999572753906,150.97999572753906,1469000,LULU
2019-02-27,150.0,152.14999389648438,149.0500030517578,150.55999755859375,150.55999755859375,1146300,LULU
