Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2019-01-02,294.7099914550781,297.8999938964844,289.9200134277344,294.5199890136719,294.5199890136719,806900,ILMN
2019-01-03,298.69000244140625,298.69000244140625,283.7900085449219,284.239990234375,284.239990234375,1225300,ILMN
2019-01-04,290.30999755859375,303.45001220703125,290.0299987792969,302.69000244140625,302.69000244140625,1379200,ILMN
2019-01-07,301.8399963378906,314.1199951171875,301.05999755859375,307.8900146484375,307.8900146484375,1046900,ILMN
2019-01-08,292.0299987792969,298.8399963378906,284.3999938964844,293.75,293.75,2564700,ILMN
2019-01-09,296.20001220703125,306.1300048828125,295.5,305.239990234375,305.239990234375,1226200,ILMN
2019-01-10,304.4200134277344,309.8900146484375,299.3500061035156,309.7699890136719,309.7699890136719,888100,ILMN
2019-01-11,307.45001220703125,309.1700134277344,303.1099853515625,307.07000732421875,307.07000732421875,679100,ILMN
2019-01-14,303.739990234375,305.239990234375,299.010009765625,299.19000244140625,299.19000244140625,712400,ILMN
2019-01-15,300.0,307.3900146484375,300.0,305.4800109863281,305.4800109863281,820200,ILMN
2019-01-16,305.989990234375,312.5199890136719,305.04998779296875,305.6300048828125,305.6300048828125,768500,ILMN
2019-01-17,306.260009765625,313.3800048828125,306.1000061035156,310.04998779296875,310.04998779296875,504400,ILMN
2019-01-18,313.8500061035156,314.75,306.260009765625,312.75,312.75,1016500,ILMN
2019-01-22,311.6400146484375,312.3699951171875,301.6400146484375,303.6199951171875,303.6199951171875,805100,ILMN
2019-01-23,303.5299987792969,308.1300048828125,297.07000732421875,302.2900085449219,302.2900085449219,777200,ILMN
2019-01-24,303.3900146484375,304.42999267578125,298.489990234375,301.05999755859375,301.05999755859375,617200,ILMN
2019-01-25,300.9599914550781,303.989990234375,293.29998779296875,293.8800048828125,293.8800048828125,1389500,ILMN
2019-01-28,293.4800109863281,293.4800109863281,287.1499938964844,287.67999267578125,287.67999267578125,1262000,ILMN
2019-01-29,289.0400085449219,289.6199951171875,280.5199890136719,285.260009765625,285.260009765625,1317600,ILMN
2019-01-30,276.1300048828125,281.75,268.6199951171875,272.57000732421875,272.57000732421875,2721100,ILMN
2019-01-31,273.0299987792969,284.1300048828125,273.0299987792969,279.7900085449219,279.7900085449219,1646200,ILMN
2019-02-01,280.1099853515625,286.30999755859375,279.5299987792969,282.8599853515625,282.8599853515625,1051000,ILMN
2019-02-04,283.4100036621094,284.989990234375,278.3500061035156,281.0400085449219,281.0400085449219,837900,ILMN
2019-02-05,280.92999267578125,284.20001220703125,279.30999755859375,281.8699951171875,281.8699951171875,972700,ILMN
2019-02-06,280.239990234375,285.3599853515625,280.239990234375,284.17999267578125,284.17999267578125,757400,ILMN
2019-02-07,282.0,283.1700134277344,274.3500061035156,276.5199890136719,276.5199890136719,925100,ILMN
2019-02-08,275.510009765625,284.9700012207031,275.1000061035156,284.1000061035156,284.1000061035156,1196400,ILMN
2019-02-11,285.3900146484375,289.6000061035156,283.9100036621094,284.3699951171875,284.3699951171875,651600,ILMN
2019-02-12,287.7900085449219,292.8299865722656,287.0199890136719,292.20001220703125,292.20001220703125,772900,ILMN
2019-02-13,293.6600036621094,296.6199951171875,290.7099914550781,293.5199890136719,293.5199890136719,946100,ILMN
2019-02-14,292.3399963378906,295.260009765625,291.8599853515625,292.4700012207031,292.4700012207031,644000,ILMN
2019-02-15,296.55999755859375,299.82000732421875,294.0199890136719,299.82000732421875,299.82000732421875,773600,ILMN
2019-02-19,299.6199951171875,304.5199890136719,299.1400146484375,302.260009765625,302.260009765625,929000,ILMN
2019-02-20,303.1700134277344,303.54998779296875,298.010009765625,302.239990234375,302.239990234375,854300,ILMN
2019-02-21,302.2200012207031,302.989990234375,295.54998779296875,296.8800048828125,296.8800048828125,617000,ILMN
2019-02-22,297.55999755859375,302.0,297.55999755859375,301.05999755859375,301.05999755859375,545200,ILMN
2019-02-25,302.82000732421875,306.30999755859375,301.9200134277344,304.739990234375,304.739990234375,635200,ILMN
2019-02-26,304.6300048828125,305.04998779296875,300.30999755859375,301.2099914550781,301.2099914550781,962400,ILMN
2019-02-27,300.0,309.3699951171875,299.5,309.1600036621094,309.1600036621094,720300,ILMN
2019-02-28,309.2699890136719,314.67999267578125,308.3699951171875,312.7699890136719,312.7699890136719,1611900,ILMN
2019-03-01,313.92999267578125,322.32000732421875,313.57000732421875,321.17999267578125,321.17999267578125,1095400,ILMN
2019-03-04,321.239990234375,321.6499938964844,304.0,307.70001220703125,307.70001220703125,1368800,ILMN
2019-03-05,308.5199890136719,308.9100036621094,303.2099914550781,303.79998779296875,303.79998779296875,632200,ILMN
2019-03-06,304.6000061035156,305.70001220703125,298.04998779296875,298.6600036621094,298.6600036621094,783200,ILMN
2019-03-07,298.4100036621094,298.6600036621094,289.2799987792969,292.05999755859375,292.05999755859375,1220400,ILMN
2019-03-08,289.20001220703125,294.92999267578125,285.5,294.5299987792969,294.5299987792969,944600,ILMN
2019-03-11,295.3900146484375,300.489990234375,294.8699951171875,300.17999267578125,300.17999267578125,697400,ILMN
2019-03-12,302.0,306.1000061035156,299.75,305.2699890136719,305.2699890136719,965200,ILMN
2019-03-13,306.5,310.8900146484375,306.3800048828125,308.2699890136719,308.2699890136719,700100,ILMN
2019-03-14,308.05999755859375,309.5,306.25,309.20001220703125,309.20001220703125,563700,ILMN
2019-03-15,310.010009765625,310.54998779296875,306.6499938964844,309.8399963378906,309.8399963378906,1466000,ILMN
2019-03-18,309.7799987792969,310.29998779296875,303.4200134277344,305.7799987792969,305.7799987792969,713200,ILMN
2019-03-19,307.3599853515625,311.70001220703125,306.1300048828125,310.70001220703125,310.70001220703125,840100,ILMN
2019-03-20,310.9200134277344,316.7300109863281,309.760009765625,315.29998779296875,315.29998779296875,936300,ILMN
2019-03-21,313.7300109863281,319.8500061035156,313.30999755859375,319.2099914550781,319.2099914550781,758900,ILMN
2019-03-22,319.0799865722656,319.2699890136719,308.3999938964844,308.7900085449219,308.7900085449219,1008900,ILMN
2019-03-25,308.0,308.67999267578125,301.6199951171875,303.7099914550781,303.7099914550781,729400,ILMN
2019-03-26,305.9700012207031,308.9800109863281,304.1499938964844,307.5,307.5,552800,ILMN
2019-03-27,306.92999267578125,308.3399963378906,299.6600036621094,302.07000732421875,302.07000732421875,702100,ILMN
2019-03-28,303.0,305.8999938964844,301.1199951171875,305.1400146484375,305.1400146484375,531700,ILMN
2019-03-29,308.2699890136719,311.1300048828125,305.54998779296875,310.69000244140625,310.69000244140625,855900,ILMN
2019-04-01,314.45001220703125,318.4100036621094,314.0799865722656,316.8399963378906,316.8399963378906,948600,ILMN
2019-04-02,315.0,318.30999755859375,311.2699890136719,316.1000061035156,316.1000061035156,667500,ILMN
2019-04-03,318.8599853515625,321.7300109863281,317.0400085449219,319.20001220703125,319.20001220703125,806600,ILMN
2019-04-04,318.0299987792969,318.54998779296875,311.8399963378906,315.0199890136719,315.0199890136719,543400,ILMN
2019-04-05,317.3599853515625,323.6199951171875,316.1600036621094,323.5,323.5,843300,ILMN
2019-04-08,322.1300048828125,324.0,314.0899963378906,323.6099853515625,323.6099853515625,1093600,ILMN
2019-04-09,320.9200134277344,322.57000732421875,315.3500061035156,316.6400146484375,316.6400146484375,920600,ILMN
2019-04-10,317.010009765625,325.489990234375,314.3999938964844,324.8599853515625,324.8599853515625,1040000,ILMN
2019-04-11,325.0,328.5799865722656,322.80999755859375,328.5199890136719,328.5199890136719,888900,ILMN
2019-04-12,331.8599853515625,340.3999938964844,331.17999267578125,338.3699951171875,338.3699951171875,1455100,ILMN
2019-04-15,338.6199951171875,340.05999755859375,333.67999267578125,335.1199951171875,335.1199951171875,1127300,ILMN
2019-04-16,336.1000061035156,339.7900085449219,327.17999267578125,329.5,329.5,975400,ILMN
2019-04-17,330.92999267578125,331.67999267578125,315.3500061035156,318.69000244140625,318.69000244140625,1225300,ILMN
2019-04-18,321.7699890136719,323.4599914550781,312.5,319.0299987792969,319.0299987792969,1136600,ILMN
2019-04-22,318.5799865722656,321.4200134277344,315.75,319.0899963378906,319.0899963378906,528200,ILMN
2019-04-23,315.4200134277344,325.1199951171875,314.010009765625,322.05999755859375,322.05999755859375,1369200,ILMN
2019-04-24,321.9599914550781,323.4200134277344,314.0,314.5199890136719,314.5199890136719,907000,ILMN
2019-04-25,314.1199951171875,320.8500061035156,312.5,319.20001220703125,319.20001220703125,1277600,ILMN
2019-04-26,315.0,315.79998779296875,305.19000244140625,314.0400085449219,314.0400085449219,2152300,ILMN
2019-04-29,313.739990234375,316.75,306.8500061035156,312.0400085449219,312.0400085449219,1621100,ILMN
2019-04-30,312.489990234375,315.0,309.30999755859375,312.0,312.0,1161200,ILMN
2019-05-01,311.7699890136719,312.8999938964844,308.3999938964844,310.1199951171875,310.1199951171875,853400,ILMN
2019-05-02,309.2200012207031,314.8999938964844,308.6300048828125,312.69000244140625,312.69000244140625,831300,ILMN
2019-05-03,315.739990234375,325.9599914550781,314.6400146484375,325.5199890136719,325.5199890136719,1192800,ILMN
2019-05-06,318.07000732421875,326.29998779296875,316.0,324.760009765625,324.760009765625,891300,ILMN
2019-05-07,321.45001220703125,323.260009765625,317.5199890136719,320.510009765625,320.510009765625,908400,ILMN
2019-05-08,318.5899963378906,322.8299865722656,316.1000061035156,319.42999267578125,319.42999267578125,714900,ILMN
2019-05-09,318.32000732421875,318.760009765625,310.6400146484375,317.3699951171875,317.3699951171875,1028500,ILMN
2019-05-10,315.32000732421875,319.0799865722656,306.3599853515625,315.80999755859375,315.80999755859375,1095800,ILMN
2019-05-13,307.95001220703125,309.989990234375,300.4200134277344,300.8699951171875,300.8699951171875,1082500,ILMN
2019-05-14,303.25,307.3800048828125,301.54998779296875,304.55999755859375,304.55999755859375,1066100,ILMN
2019-05-15,301.95001220703125,308.2300109863281,301.0,306.5799865722656,306.5799865722656,894700,ILMN
2019-05-16,307.4100036621094,310.54998779296875,307.4100036621094,309.8500061035156,309.8500061035156,843400,ILMN
2019-05-17,307.1000061035156,313.19000244140625,307.1000061035156,307.6300048828125,307.6300048828125,744000,ILMN
2019-05-20,304.6199951171875,306.8999938964844,300.3500061035156,300.5899963378906,300.5899963378906,766500,ILMN
2019-05-21,304.1700134277344,313.29998779296875,304.1700134277344,306.4700012207031,306.4700012207031,869500,ILMN
2019-05-22,304.44000244140625,314.2099914550781,303.95001220703125,312.8299865722656,312.8299865722656,627500,ILMN
2019-05-23,310.0,313.20001220703125,305.5,308.9700012207031,308.9700012207031,707900,ILMN
2019-05-24,311.6400146484375,315.5,311.6400146484375,312.45001220703125,312.45001220703125,599900,ILMN
2019-05-28,312.82000732421875,319.75,312.7699890136719,313.0,313.0,1153800,ILMN
2019-05-29,310.4200134277344,313.9100036621094,307.29998779296875,308.2799987792969,308.2799987792969,649000,ILMN
2019-05-30,309.260009765625,313.7300109863281,309.0,311.20001220703125,311.20001220703125,635300,ILMN
2019-05-31,308.0299987792969,310.9700012207031,306.1000061035156,306.9100036621094,306.9100036621094,844700,ILMN
2019-06-03,306.8800048828125,312.54998779296875,302.7200012207031,303.7200012207031,303.7200012207031,1062300,ILMN
2019-06-04,307.20001220703125,314.2300109863281,304.0799865722656,313.8299865722656,313.8299865722656,916600,ILMN
2019-06-05,315.55999755859375,319.57000732421875,314.57000732421875,318.1400146484375,318.1400146484375,710000,ILMN
2019-06-06,318.17999267578125,320.0,317.0899963378906,318.55999755859375,318.55999755859375,503300,ILMN
2019-06-07,321.0400085449219,340.1099853515625,320.4800109863281,335.489990234375,335.489990234375,1313400,ILMN
2019-06-10,335.0299987792969,341.239990234375,334.57000732421875,337.1199951171875,337.1199951171875,1069000,ILMN
2019-06-11,340.25,344.5899963378906,333.54998779296875,335.8900146484375,335.8900146484375,795800,ILMN
2019-06-12,334.5299987792969,340.0,333.8900146484375,339.1499938964844,339.1499938964844,543300,ILMN
2019-06-13,340.0,342.7099914550781,338.5400085449219,341.2799987792969,341.2799987792969,578400,ILMN
2019-06-14,341.29998779296875,344.3599853515625,340.42999267578125,344.0,344.0,741400,ILMN
2019-06-17,344.9200134277344,352.6099853515625,344.69000244140625,351.1099853515625,351.1099853515625,911800,ILMN
2019-06-18,353.7200012207031,354.1000061035156,347.3999938964844,347.8500061035156,347.8500061035156,950400,ILMN
2019-06-19,346.4800109863281,352.82000732421875,346.3299865722656,351.94000244140625,351.94000244140625,909700,ILMN
2019-06-20,355.32000732421875,359.7900085449219,352.25,358.57000732421875,358.57000732421875,981400,ILMN
2019-06-21,356.8999938964844,363.5799865722656,355.8399963378906,361.55999755859375,361.55999755859375,1575200,ILMN
2019-06-24,361.6000061035156,363.2799987792969,357.6099853515625,357.739990234375,357.739990234375,754700,ILMN
2019-06-25,358.2099914550781,362.1600036621094,354.8800048828125,358.0799865722656,358.0799865722656,753900,ILMN
2019-06-26,358.1499938964844,359.0,354.4800109863281,356.3699951171875,356.3699951171875,738000,ILMN
2019-06-27,358.94000244140625,359.1700134277344,352.5299987792969,356.5,356.5,681200,ILMN
2019-06-28,357.239990234375,369.0,354.6400146484375,368.1499938964844,368.1499938964844,1230500,ILMN
2019-07-01,371.2900085449219,371.6099853515625,367.989990234375,370.6700134277344,370.6700134277344,990200,ILMN
2019-07-02,372.0,372.4800109863281,365.30999755859375,371.3699951171875,371.3699951171875,487200,ILMN
2019-07-03,372.1499938964844,378.1700134277344,371.6199951171875,377.82000732421875,377.82000732421875,540900,ILMN
2019-07-05,378.8299865722656,379.5400085449219,373.6499938964844,378.2300109863281,378.2300109863281,599600,ILMN
2019-07-08,377.5899963378906,378.0,372.1000061035156,375.1199951171875,375.1199951171875,754600,ILMN
2019-07-09,372.6499938964844,377.6600036621094,368.7900085449219,377.239990234375,377.239990234375,940500,ILMN
2019-07-10,376.5,380.760009765625,371.3800048828125,372.70001220703125,372.70001220703125,1234300,ILMN
2019-07-11,371.30999755859375,371.30999755859375,359.0299987792969,363.6600036621094,363.6600036621094,1837200,ILMN
2019-07-12,310.25,312.4700012207031,303.9200134277344,305.04998779296875,305.04998779296875,8475800,ILMN
2019-07-15,305.1700134277344,306.8999938964844,300.5199890136719,302.2900085449219,302.2900085449219,3522900,ILMN
2019-07-16,303.1000061035156,306.0,301.4599914550781,302.29998779296875,302.29998779296875,1840900,ILMN
2019-07-17,302.29998779296875,305.1099853515625,302.0899963378906,302.8999938964844,302.8999938964844,1269700,ILMN
2019-07-18,303.0,304.92999267578125,295.95001220703125,298.54998779296875,298.54998779296875,1620600,ILMN
2019-07-19,297.7900085449219,298.20001220703125,291.0,293.20001220703125,293.20001220703125,1733900,ILMN
2019-07-22,294.55999755859375,299.3599853515625,293.8699951171875,298.2799987792969,298.2799987792969,1230300,ILMN
2019-07-23,300.0,305.7699890136719,297.07000732421875,304.6400146484375,304.6400146484375,1438500,ILMN
2019-07-24,304.0,306.92999267578125,301.9700012207031,304.010009765625,304.010009765625,929000,ILMN
2019-07-25,304.7300109863281,304.7300109863281,297.9200134277344,298.6000061035156,298.6000061035156,834400,ILMN
2019-07-26,300.0,302.9800109863281,296.0799865722656,300.8999938964844,300.8999938964844,909600,ILMN
2019-07-29,301.3399963378906,305.29998779296875,298.8800048828125,304.4100036621094,304.4100036621094,1122200,ILMN
2019-07-30,298.8599853515625,304.0,294.8299865722656,299.9599914550781,299.9599914550781,2350300,ILMN
2019-07-31,300.760009765625,303.94000244140625,296.3999938964844,299.3800048828125,299.3800048828125,1747800,ILMN
2019-08-01,300.0,306.07000732421875,298.6300048828125,301.6600036621094,301.6600036621094,1245000,ILMN
2019-08-02,301.0,301.0,292.5799865722656,297.3800048828125,297.3800048828125,1047600,ILMN
2019-08-05,292.75,294.6600036621094,286.760009765625,289.05999755859375,289.05999755859375,1300000,ILMN
2019-08-06,291.3399963378906,292.45001220703125,285.3699951171875,291.94000244140625,291.94000244140625,991800,ILMN
2019-08-07,290.07000732421875,293.7699890136719,285.5899963378906,292.8699951171875,292.8699951171875,839700,ILMN
2019-08-08,293.0899963378906,298.7200012207031,291.3999938964844,298.44000244140625,298.44000244140625,824800,ILMN
2019-08-09,298.5400085449219,299.3999938964844,292.3599853515625,294.0,294.0,829600,ILMN
2019-08-12,292.0899963378906,294.1000061035156,288.7300109863281,290.3399963378906,290.3399963378906,746900,ILMN
2019-08-13,289.5299987792969,297.8800048828125,288.010009765625,293.989990234375,293.989990234375,801800,ILMN
2019-08-14,288.3599853515625,289.45001220703125,284.1400146484375,285.07000732421875,285.07000732421875,1033700,ILMN
2019-08-15,286.80999755859375,287.4200134277344,282.4100036621094,284.7699890136719,284.7699890136719,694900,ILMN
2019-08-16,288.1700134277344,291.3599853515625,285.489990234375,286.1700134277344,286.1700134277344,909100,ILMN
2019-08-19,290.0,290.0,286.5899963378906,288.6499938964844,288.6499938964844,715500,ILMN
2019-08-20,288.6499938964844,290.0,284.510009765625,284.6499938964844,284.6499938964844,621600,ILMN
2019-08-21,285.5400085449219,290.6300048828125,284.7099914550781,290.5,290.5,505600,ILMN
2019-08-22,290.2699890136719,291.3599853515625,285.7099914550781,288.5199890136719,288.5199890136719,449700,ILMN
2019-08-23,288.94000244140625,289.44000244140625,278.1199951171875,279.44000244140625,279.44000244140625,1223600,ILMN
2019-08-26,281.92999267578125,282.7799987792969,279.20001220703125,282.2799987792969,282.2799987792969,809600,ILMN
2019-08-27,284.55999755859375,289.0,283.25,285.0199890136719,285.0199890136719,659400,ILMN
2019-08-28,283.4100036621094,284.4800109863281,281.0799865722656,281.6199951171875,281.6199951171875,620300,ILMN
2019-08-29,285.69000244140625,286.7099914550781,283.3800048828125,285.05999755859375,285.05999755859375,591200,ILMN
2019-08-30,285.4200134277344,286.2900085449219,280.0799865722656,281.3399963378906,281.3399963378906,665800,ILMN
2019-09-03,279.8800048828125,280.3599853515625,269.8599853515625,272.17999267578125,272.17999267578125,1402200,ILMN
2019-09-04,274.0,274.69000244140625,268.0,271.7099914550781,271.7099914550781,1345400,ILMN
2019-09-05,274.6199951171875,274.6199951171875,271.1600036621094,271.7799987792969,271.7799987792969,1734300,ILMN
2019-09-06,271.260009765625,272.9599914550781,269.6300048828125,270.0,270.0,1350600,ILMN
2019-09-09,271.5,272.25,265.4100036621094,266.8399963378906,266.8399963378906,1571500,ILMN
