Date,Open,High,Low,Close,Adj Close,Volume,BVPS,Symbol
2019-01-02,63.68000030517578,64.37000274658203,63.209999084472656,64.31999969482422,58.21862030029297,10094000,-6.997,SBUX
2019-01-03,63.459999084472656,63.720001220703125,61.400001525878906,61.529998779296875,55.69328308105469,14390100,-6.997,SBUX
2019-01-04,62.400001525878906,64.25,62.08000183105469,63.56999969482422,57.53977584838867,12694400,-6.997,SBUX
2019-01-07,63.349998474121094,64.23999786376953,62.7400016784668,63.56999969482422,57.53977584838867,10337600,-6.997,SBUX
2019-01-08,63.939998626708984,64.29000091552734,63.04999923706055,63.619998931884766,57.585018157958984,10809700,-6.997,SBUX
2019-01-09,63.650001525878906,64.04000091552734,62.95000076293945,63.880001068115234,57.82036209106445,13080300,-6.997,SBUX
2019-01-10,63.61000061035156,64.38999938964844,63.2400016784668,64.19000244140625,58.100948333740234,10397600,-6.997,SBUX
2019-01-11,62.290000915527344,63.84000015258789,61.66999816894531,63.72999954223633,57.68458557128906,13805700,-6.997,SBUX
2019-01-14,63.349998474121094,64.05999755859375,62.97999954223633,63.369998931884766,57.358734130859375,9929600,-6.997,SBUX
2019-01-15,63.58000183105469,64.62999725341797,63.45000076293945,64.08000183105469,58.00138854980469,7930400,-6.997,SBUX
2019-01-16,64.19999694824219,64.81999969482422,63.75,63.77000045776367,57.72079086303711,8091300,-6.997,SBUX
2019-01-17,63.68000030517578,64.38999938964844,63.599998474121094,64.27999877929688,58.18241500854492,6767100,-6.997,SBUX
2019-01-18,64.80999755859375,64.80999755859375,63.86000061035156,64.69999694824219,58.56258010864258,9835200,-6.997,SBUX
2019-01-22,64.9000015258789,66.20999908447266,64.75,65.38999938964844,59.18712615966797,16414300,-6.997,SBUX
2019-01-23,65.87999725341797,66.69999694824219,65.80999755859375,66.43000030517578,60.12846755981445,12372400,-6.997,SBUX
2019-01-24,66.61000061035156,66.76000213623047,62.93000030517578,64.73999786376953,58.59877395629883,29719800,-6.997,SBUX
2019-01-25,67.02999877929688,67.69000244140625,66.0999984741211,67.08999633789062,60.725852966308594,21885800,-6.997,SBUX
2019-01-28,66.19000244140625,66.95999908447266,65.91000366210938,66.9000015258789,60.55387878417969,11537700,-6.997,SBUX
2019-01-29,67.0,67.5,66.19999694824219,67.04000091552734,60.680606842041016,10703400,-6.997,SBUX
2019-01-30,67.11000061035156,68.20999908447266,67.05000305175781,68.1500015258789,61.68531036376953,11702500,-6.997,SBUX
2019-01-31,68.18000030517578,69.48999786376953,67.08000183105469,68.13999938964844,61.67625427246094,24233300,-6.997,SBUX
2019-02-01,68.58999633789062,69.31999969482422,68.0,68.11000061035156,61.64910888671875,10309200,-6.997,SBUX
2019-02-04,68.02999877929688,68.11000061035156,67.08000183105469,67.58000183105469,61.16939926147461,13562400,-6.997,SBUX
2019-02-05,67.76000213623047,69.41000366210938,67.63999938964844,69.33999633789062,62.762428283691406,12781600,-6.997,SBUX
2019-02-06,69.2300033569336,69.38999938964844,68.5,68.8499984741211,62.64413833618164,10283400,-6.997,SBUX
2019-02-07,68.5999984741211,69.20999908447266,68.4800033569336,69.13999938964844,62.90800094604492,10109200,-6.997,SBUX
2019-02-08,68.7699966430664,69.81999969482422,68.5999984741211,69.75,63.4630126953125,8862000,-6.997,SBUX
2019-02-11,70.0,70.47000122070312,69.8499984741211,69.98999786376953,63.681400299072266,9229700,-6.997,SBUX
2019-02-12,70.23999786376953,70.45999908447266,69.70999908447266,69.75,63.4630126953125,8848900,-6.997,SBUX
2019-02-13,69.80999755859375,70.5999984741211,69.80000305175781,70.51000213623047,64.15453338623047,10264000,-6.997,SBUX
2019-02-14,70.12999725341797,71.54000091552734,69.97000122070312,70.83999633789062,64.45477294921875,9441100,-6.997,SBUX
2019-02-15,71.1500015258789,71.37000274658203,70.19000244140625,70.70999908447266,64.33649444580078,13924600,-6.997,SBUX
2019-02-19,70.45999908447266,70.5999984741211,69.77999877929688,70.19999694824219,63.87245559692383,9208400,-6.997,SBUX
2019-02-20,70.2300033569336,70.5999984741211,70.05000305175781,70.38999938964844,64.04532623291016,9671800,-6.997,SBUX
2019-02-21,70.13999938964844,70.93000030517578,70.13999938964844,70.69999694824219,64.32740783691406,10933500,-6.997,SBUX
2019-02-22,70.76000213623047,71.38999938964844,70.75,71.30000305175781,64.87332153320312,11311600,-6.997,SBUX
2019-02-25,71.9000015258789,72.06999969482422,70.9800033569336,71.05000305175781,64.64583587646484,12071200,-6.997,SBUX
2019-02-26,71.0,71.44999694824219,70.91999816894531,71.13999938964844,64.72774505615234,12302300,-6.997,SBUX
2019-02-27,70.83000183105469,71.12999725341797,69.91999816894531,70.1500015258789,63.82696533203125,13274800,-6.997,SBUX
2019-02-28,70.13999938964844,70.48999786376953,69.77999877929688,70.26000213623047,63.92704391479492,18956700,-6.997,SBUX
2019-03-01,70.62999725341797,71.11000061035156,70.44999694824219,70.8499984741211,64.4638671875,8067700,-6.997,SBUX
2019-03-04,70.98999786376953,71.3499984741211,70.37000274658203,70.94999694824219,64.55485534667969,9219700,-6.997,SBUX
2019-03-05,71.19000244140625,71.88999938964844,71.05999755859375,71.58000183105469,65.12808990478516,10496100,-6.997,SBUX
2019-03-06,71.80999755859375,72.18000030517578,71.16000366210938,71.2699966430664,64.84601593017578,7666100,-6.997,SBUX
2019-03-07,71.19999694824219,71.36000061035156,70.45999908447266,70.61000061035156,64.24549865722656,7814700,-6.997,SBUX
2019-03-08,70.1500015258789,70.2699966430664,69.02999877929688,69.36000061035156,63.10817337036133,12363900,-6.997,SBUX
2019-03-11,69.37999725341797,70.01000213623047,69.13999938964844,69.68000030517578,63.39934158325195,11518300,-6.997,SBUX
2019-03-12,69.73999786376953,70.58000183105469,69.69000244140625,70.05000305175781,63.73598098754883,12751700,-6.997,SBUX
2019-03-13,70.08999633789062,70.9000015258789,69.9800033569336,70.0999984741211,63.781471252441406,13798600,-6.997,SBUX
2019-03-14,70.19000244140625,70.88999938964844,70.19000244140625,70.73999786376953,64.36376953125,9249200,-6.997,SBUX
2019-03-15,70.80000305175781,71.20999908447266,70.54000091552734,70.66999816894531,64.30007934570312,13096900,-6.997,SBUX
2019-03-18,70.77999877929688,71.12000274658203,70.44000244140625,70.83999633789062,64.45477294921875,5682400,-6.997,SBUX
2019-03-19,70.94999694824219,71.69999694824219,70.87000274658203,71.37999725341797,64.94608306884766,7810700,-6.997,SBUX
2019-03-20,71.80000305175781,72.4000015258789,71.33999633789062,71.62999725341797,65.1735610961914,9512400,-6.997,SBUX
2019-03-21,71.31999969482422,72.44000244140625,71.31999969482422,72.26000213623047,65.74678039550781,8044400,-6.997,SBUX
2019-03-22,72.05000305175781,72.41000366210938,71.69000244140625,71.95999908447266,65.47382354736328,8022800,-6.997,SBUX
2019-03-25,72.0,72.4800033569336,71.7300033569336,72.30000305175781,65.78317260742188,6453800,-6.997,SBUX
2019-03-26,72.72000122070312,73.19000244140625,72.33000183105469,72.95999908447266,66.38369750976562,7624000,-6.997,SBUX
2019-03-27,72.94000244140625,73.26000213623047,72.62000274658203,72.73999786376953,66.18351745605469,7662700,-6.997,SBUX
2019-03-28,72.97000122070312,73.9800033569336,72.88999938964844,73.95999908447266,67.2935562133789,6709600,-6.997,SBUX
2019-03-29,74.01000213623047,74.4800033569336,73.52999877929688,74.33999633789062,67.63929748535156,9099500,-6.997,SBUX
2019-04-01,74.76000213623047,74.93000030517578,73.7300033569336,73.95999908447266,67.2935562133789,8108400,-6.997,SBUX
2019-04-02,74.01000213623047,74.44999694824219,73.83999633789062,74.2699966430664,67.57560729980469,5520900,-6.997,SBUX
2019-04-03,74.55999755859375,74.77999877929688,73.87000274658203,74.33000183105469,67.63018035888672,6755600,-6.997,SBUX
2019-04-04,74.5,74.66999816894531,73.9800033569336,74.3499984741211,67.64840698242188,5449800,-6.997,SBUX
2019-04-05,74.3499984741211,75.08000183105469,74.3499984741211,75.02999877929688,68.26710510253906,5346200,-6.997,SBUX
